time,altitude,acceleration
38639,-0.0841017732936,-0.006
38907,0.168184154787,-0.016
39176,0.588674310327,-0.011
39433,0.504574918287,-0.031
39663,-7.14434223426e-06,-0.031
39897,-7.14434223426e-06,-0.011
40130,0.168184154787,-0.004
40407,-7.14434223426e-06,-0.024
40636,0.672774382854,-0.011
40905,0.840976569436,-0.016
41133,0.672774382854,-0.009
41359,0.756875135889,-0.028
41585,-7.14434223426e-06,-0.014
41787,-7.14434223426e-06,-0.019
42016,0.168184154787,-0.031
42249,0.25228082499,-0.028
42478,-7.14434223426e-06,-0.009
42706,0.0840881650131,-0.031
42956,0.756875135889,-0.011
43185,0.168184154787,-0.005
43412,0.0840881650131,-0.008
43658,-0.0841017732936,-0.024
43886,0.588674310327,-0.009
44114,0.588674310327,-0.024
44345,0.840976569436,-0.024
44572,1.09328495329,-0.006
44808,0.504574918287,-0.025
45037,0.756875135889,-0.014
45234,0.588674310327,-0.014
45468,0.504574918287,-0.021
45712,-0.420473485306,-0.025
45950,0.756875135889,-0.027
46182,0.0840881650131,-0.006
46407,0.672774382854,-0.021
46633,0.588674310327,-0.009
46863,0.588674310327,-0.019
47095,-0.252288990034,-0.016
47326,0.588674310327,-0.019
47558,0.672774382854,-0.019
47793,0.504574918287,-0.016
48025,0.840976569436,-0.003
48256,0.0840881650131,-0.028
48451,-0.252288990034,-0.031
48682,0.588674310327,-0.009
48910,0.168184154787,-0.019
49139,0.672774382854,-0.035
49367,-0.336381577847,-0.006
49594,0.25228082499,-0.021
49822,0.0840881650131,-0.011
50052,0.756875135889,-0.019
50324,0.25228082499,-0.021
50556,0.504574918287,-0.011
50796,0.25228082499,-0.018
51027,0.168184154787,-0.009
51257,0.0840881650131,-0.025
51486,-0.0841017732936,-0.027
51717,-0.252288990034,-0.004
51892,0.168184154787,-0.028
52122,0.840976569436,-0.008
52349,0.756875135889,-0.025
52581,0.588674310327,-0.019
52809,0.168184154787,-0.002
53037,-7.14434223426e-06,-0.021
53265,-0.504564712425,-0.009
53491,0.840976569436,-0.031
53719,0.504574918287,-0.006
53947,-0.0841017732936,-0.014
54182,0.588674310327,-0.014
54411,-0.168195721856,-0.003
54640,0.25228082499,-0.016
54869,0.25228082499,-0.006
55109,0.588674310327,-0.013
55295,0.168184154787,-0.028
55493,0.672774382854,-0.014
55719,-0.504564712425,-0.009
55944,0.672774382854,-0.031
56174,0.504574918287,-0.019
56399,-7.14434223426e-06,-0.006
56636,0.168184154787,-0.024
56856,-0.504564712425,-0.009
57082,-0.336381577847,-0.024
57303,0.0840881650131,-0.014
57529,0.840976569436,-0.034
57755,0.168184154787,-0.007
57997,0.588674310327,-0.025
58223,0.504574918287,-0.019
58450,0.25228082499,-0.006
58625,0.168184154787,-0.019
58846,-7.14434223426e-06,-0.004
59081,0.25228082499,-0.016
59313,0.168184154787,-0.014
59582,0.25228082499,-0.028
59808,0.0840881650131,-0.011
60046,0.504574918287,-0.035
60274,0.504574918287,-0.019
60499,0.0840881650131,-0.006
60726,0.0840881650131,-0.035
60954,0.840976569436,-0.016
61185,0.25228082499,-0.031
61411,0.588674310327,-0.028
61635,0.504574918287,-0.019
61861,0.168184154787,-0.021
62047,-7.14434223426e-06,-0.011
62288,0.504574918287,-0.031
62521,0.168184154787,-0.028
62747,0.672774382854,-0.003
62996,0.672774382854,-0.021
63224,0.25228082499,-0.024
63451,0.504574918287,-0.009
63677,0.168184154787,-0.025
63904,0.840976569436,-0.011
64157,0.504574918287,-0.031
